Year,OSHPD_ID,Facility_Name,County_Name,Type_Of_Control,ED_Level,Patient_Type,Gender,Count
2010,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4720
2010,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2010,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,4219
2011,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,30419
2011,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,36781
2011,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4680
2011,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,4280
2012,106010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,31061
2012,106010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,37792
2012,106010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4196
2012,106010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2012,106010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3977
2013,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,32753
2013,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,39298
2013,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3620
2013,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2013,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Other,1
2013,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3465
2014,106010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,15647
2014,106010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,1641
2014,106010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,1519
2010,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,13489
2010,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,18930
2010,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4609
2010,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3840
2011,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,13900
2011,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,20339
2011,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4666
2011,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3916
2012,106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,13241
2012,106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,19432
2012,106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4356
2012,106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3486
2013,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,13796
2013,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,19699
2013,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4132
2013,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3769
2014,106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,15611
2014,106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3965
2014,106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3558
2010,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,12624
2010,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,16910
2010,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2964
2010,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2397
2011,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,12687
2011,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,17033
2011,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3306
2011,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,4
2011,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2556
2012,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,13155
2012,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,17322
2012,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2602
2012,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,2
2012,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2108
2013,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,13013
2013,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,17175
2013,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2418
2013,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2013,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2161
2014,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,14105
2014,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2289
2014,106010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,1969
2010,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Male,18656
2010,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Female,23583
2010,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,Public - District,Emergency - Basic,ED Admit,Female,3989
2010,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,Public - District,Emergency - Basic,ED Admit,Male,3448
2011,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Male,18966
2011,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Female,23725
2011,106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,Public - District,Emergency - Basic,ED Admit,Female,3992
